seed,dp_value,greedy_value,greedy_time,ls_value,ls_time,ls_iters,psi_value,psi_time,psi_iters,psi_repairs,psi_N,psi_coh,item0_w,item0_v,greedy_feasible,ls_feasible,psi_feasible
2059,10749,10729,0.094,10729,0.155,0,10736,3.610,50,14,3.80,0.0000,5,85,1,1,1
2060,10785,10785,0.099,10785,0.156,0,10785,3.270,50,29,3.89,0.0000,19,190,1,1,1
2061,9592,9576,0.111,9590,0.205,1,9590,3.430,50,21,3.89,0.0000,27,112,1,1,1
2062,11083,11083,0.121,11083,0.177,0,11083,3.859,50,30,3.89,0.0000,35,5,1,1,1
2063,11167,11167,0.108,11167,0.166,0,11167,3.339,50,8,3.89,0.0000,5,199,1,1,1
2064,9832,9809,0.107,9828,0.250,2,9828,3.000,50,17,3.89,0.0000,38,104,1,1,1
2065,10265,10261,0.094,10261,0.149,0,10261,3.104,50,18,3.89,0.0000,2,48,1,1,1
2066,10522,10519,0.103,10522,0.201,1,10522,3.426,50,8,3.89,0.0000,39,146,1,1,1
2067,11241,11241,0.108,11241,0.173,0,11241,3.258,50,20,3.89,0.0000,5,101,1,1,1
2068,10292,10272,0.103,10279,0.206,1,10286,3.232,50,22,3.80,0.0000,18,75,1,1,1
2069,10507,10507,0.103,10507,0.156,0,10507,3.031,50,18,3.89,0.0000,25,176,1,1,1
2070,9442,9442,0.107,9442,0.162,0,9442,3.005,50,21,3.89,0.0000,42,119,1,1,1
2071,10931,10903,0.107,10909,0.193,1,10911,3.174,50,20,3.80,0.0000,26,79,1,1,1
2072,10013,10008,0.100,10008,0.155,0,10008,3.164,50,21,3.89,0.0000,47,124,1,1,1
2073,10999,10992,0.105,10999,0.209,1,10999,3.624,50,26,3.89,0.0000,35,47,1,1,1
2074,10179,10179,0.102,10179,0.157,0,10179,3.669,50,28,3.89,0.0000,42,24,1,1,1
2075,11729,11723,0.103,11726,0.209,1,11726,3.599,50,21,3.89,0.0000,21,73,1,1,1
2076,9405,9404,0.101,9404,0.161,0,9404,3.507,50,22,3.89,0.0000,6,190,1,1,1
2077,9602,9602,0.108,9602,0.158,0,9602,2.827,50,21,3.89,0.0000,5,82,1,1,1
2078,10360,10354,0.102,10360,0.234,2,10360,2.997,50,21,3.89,0.0000,14,133,1,1,1
2079,9340,9336,0.114,9340,0.211,1,9340,3.429,50,18,3.89,0.0000,47,90,1,1,1
2080,10374,10353,0.104,10374,0.203,1,10374,3.317,50,26,3.89,0.0000,6,80,1,1,1
2081,10187,10175,0.107,10184,0.197,1,10184,3.314,50,16,3.89,0.0000,50,81,1,1,1
2082,10487,10482,0.100,10482,0.155,0,10486,3.416,50,25,3.80,0.0000,28,78,1,1,1
2083,9369,9349,0.102,9349,0.164,0,9354,3.021,50,21,3.79,0.0000,32,99,1,1,1
2084,9287,9279,0.103,9279,0.164,0,9279,3.192,50,23,3.89,0.0000,24,186,1,1,1
2085,9889,9889,0.103,9889,0.161,0,9889,3.057,50,11,3.89,0.0000,35,154,1,1,1
2086,9938,9914,0.105,9919,0.211,1,9935,3.427,50,20,3.68,0.0000,17,38,1,1,1
2087,9983,9983,0.106,9983,0.176,0,9983,3.301,50,19,3.89,0.0000,1,167,1,1,1
2088,9887,9885,0.111,9885,0.171,0,9885,3.339,50,20,3.89,0.0000,34,161,1,1,1
2089,11068,11061,0.094,11061,0.146,0,11068,3.600,50,21,3.74,0.0000,19,12,1,1,1
2090,10433,10408,0.102,10408,0.166,0,10424,2.918,50,19,3.80,0.0000,4,1,1,1,1
2091,9613,9605,0.100,9605,0.163,0,9610,3.231,50,17,3.80,0.0000,17,87,1,1,1
2092,11402,11402,0.103,11402,0.155,0,11402,3.260,50,24,3.89,0.0000,49,77,1,1,1
2093,10611,10591,0.098,10600,0.194,1,10600,3.308,50,26,3.89,0.0000,42,20,1,1,1
2094,9301,9283,0.109,9294,0.203,1,9301,2.946,50,17,3.67,0.0000,42,105,1,1,1
2095,10543,10543,0.103,10543,0.165,0,10543,3.262,50,20,3.89,0.0000,11,163,1,1,1
2096,10094,10081,0.101,10092,0.190,1,10094,3.468,50,22,3.80,0.0000,39,184,1,1,1
2097,10532,10530,0.113,10530,0.163,0,10530,3.649,50,22,3.89,0.0000,46,58,1,1,1
2098,10128,10123,0.100,10128,0.187,1,10128,3.184,50,21,3.89,0.0000,7,20,1,1,1
2099,10684,10684,0.109,10684,0.172,0,10684,3.274,50,20,3.89,0.0000,25,197,1,1,1
