seed,dp_value,psi_value,gap_percent,iterations,repairs,final_N,final_coherence,final_residual,time_ms,exact_hit,feasible
81,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.28,0,1
82,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.31,0,1
83,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.28,0,1
84,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.32,0,1
85,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.25,0,1
86,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.29,0,1
87,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.28,0,1
88,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.27,0,1
89,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.32,0,1
90,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.33,0,1
91,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.28,0,1
92,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.33,0,1
93,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.30,0,1
94,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.28,0,1
95,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.30,0,1
96,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.28,0,1
97,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.34,0,1
98,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.30,0,1
99,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.26,0,1
100,10122,10119,0.0296,100,40,3.13,0.6518,0.0003,7.29,0,1
