seed,model,final_value,improvements,sum_N,resilience_score
185,PSI,19862,3,229.5437,0.0000
186,GR-B,10116,0,0.0000,0.0000
186,GR-LS,10119,1,0.0000,0.0000
186,PSI,19862,3,229.5437,0.0000
187,GR-B,10116,0,0.0000,0.0000
187,GR-LS,10119,1,0.0000,0.0000
187,PSI,19862,3,229.5437,0.0000
188,GR-B,10116,0,0.0000,0.0000
188,GR-LS,10119,1,0.0000,0.0000
188,PSI,19862,3,229.5437,0.0000
189,GR-B,10116,0,0.0000,0.0000
189,GR-LS,10119,1,0.0000,0.0000
189,PSI,19862,3,229.5437,0.0000
190,GR-B,10116,0,0.0000,0.0000
190,GR-LS,10119,1,0.0000,0.0000
190,PSI,19862,3,229.5437,0.0000
191,GR-B,10116,0,0.0000,0.0000
191,GR-LS,10119,1,0.0000,0.0000
191,PSI,19862,3,229.5437,0.0000
192,GR-B,10116,0,0.0000,0.0000
192,GR-LS,10119,1,0.0000,0.0000
192,PSI,19862,3,229.5437,0.0000
193,GR-B,10116,0,0.0000,0.0000
193,GR-LS,10119,1,0.0000,0.0000
193,PSI,19862,3,229.5437,0.0000
194,GR-B,10116,0,0.0000,0.0000
194,GR-LS,10119,1,0.0000,0.0000
194,PSI,19862,3,229.5437,0.0000
195,GR-B,10116,0,0.0000,0.0000
195,GR-LS,10119,1,0.0000,0.0000
195,PSI,19862,3,229.5437,0.0000
196,GR-B,10116,0,0.0000,0.0000
196,GR-LS,10119,1,0.0000,0.0000
196,PSI,19862,3,229.5437,0.0000
197,GR-B,10116,0,0.0000,0.0000
197,GR-LS,10119,1,0.0000,0.0000
197,PSI,19862,3,229.5437,0.0000
198,GR-B,10116,0,0.0000,0.0000
198,GR-LS,10119,1,0.0000,0.0000
198,PSI,19862,3,229.5437,0.0000
199,GR-B,10116,0,0.0000,0.0000
199,GR-LS,10119,1,0.0000,0.0000
199,PSI,19862,3,229.5437,0.0000
200,GR-B,10116,0,0.0000,0.0000
